id,title,writer,genre,total_epi,labeled
1051332,남편이 사랑에 빠졌다 : 네이버웹소설,성소작,로맨스,45,True
1079996,결혼 먼저 해버린 부부 : 네이버웹소설,신유현,로맨스,107,True
1105605,사내연하 : 네이버웹소설,박수정(방울마마),로맨스,164,False
1079998,그날 밤 사정 : 네이버웹소설,도영,로맨스,107,True
1065746,7일의 계약 : 네이버웹소설,정지인(얼룩다람쥐),로맨스,133,True
1062254,너에게 닿으면 : 네이버웹소설,우하리,로맨스,143,True
1082881,이토록 치명적인 결혼 : 네이버웹소설,말랑한두부,로맨스,5,True
1077042,참을 수 없는 결혼 : 네이버웹소설,꽃그루,로맨스,115,True
1113882,본능적인 청혼 : 네이버웹소설,김노라,로맨스,103,False
1108680,불순한 친구 사이 : 네이버웹소설,이달아,로맨스,96,False
1085895,미친 짓에 설렌다면 : 네이버웹소설,화뤼,로맨스,90,True
1082882,위대한 유혹 : 네이버웹소설,Lunar 이지연,로맨스,98,True
1079990,비서 실세 : 네이버웹소설,로즈빈,로맨스,107,True
1099141,나랑 해! 연애! : 네이버웹소설,키위바나나,로맨스,64,True
1105607,불순한 첫날밤 : 네이버웹소설,신유현,로맨스,47,True
1108678,아주 가벼운 계약 : 네이버웹소설,사나운다람쥐,로맨스,38,True
1105617,이혼 후 진짜 결혼 : 네이버웹소설,샤랄릴리유,로맨스,69,False
1102246,내 완벽한 하자품 : 네이버웹소설,사은수,로맨스,56,True
1102249,내 남편의 연인 : 네이버웹소설,은표,로맨스,56,True
1102245,우리 사이는 X : 네이버웹소설,이른봄,로맨스,56,True
1094907,너를 위한 로맨스 : 네이버웹소설,주노엘,로맨스,74,True
1094911,네가 나를 잊을 때 : 네이버웹소설,최온,로맨스,90,False
1119371,맞선 위반 : 네이버웹소설,핑크티,로맨스,19,False
1119367,욕망 어린 후원 : 네이버웹소설,사랑의묘약,로맨스,42,False
1099145,계약을 받아들인 건 너야 : 네이버웹소설,호랑이곶감,로맨스,65,True
1117103,구속하고 시작하는 : 네이버웹소설,닥터냐냐,로맨스,52,False
1117109,시크릿 베이비 : 네이버웹소설,심아린,로맨스,42,False
1125131,처음도 아닌데 : 네이버웹소설,별규,로맨스,11,False
1119362,부부가 연애를 시작하면 : 네이버웹소설,콩가네콩쓰,로맨스,30,False
1119366,다정한 불청객 : 네이버웹소설,7월의로로,로맨스,42,False
1119357,보이는 사랑 : 네이버웹소설,강형민,로맨스,42,False
1125121,파란의 상속녀 : 네이버웹소설,해아한,로맨스,11,False
1125126,사내 연애 스캔들 : 네이버웹소설,김효희,로맨스,11,False
1125129,덫에 홀리다 : 네이버웹소설,유리연슬,로맨스,11,False
1125128,"나쁜, 짓 : 네이버웹소설",은미수,로맨스,11,False
1108682,내 모든 처음은 너 : 네이버웹소설,유밀크,로맨스,134,False
853016,하렘의 남자들 : 네이버웹소설,알파타르트,로판,386,True
941326,대리 황후지만 첫날밤을 보내버렸다 : 네이버웹소설,클레오빡도라,로판,298,True
934373,"언니, 이번 생엔 내가 왕비야 : 네이버웹소설",레팔진프,로판,306,True
920930,공녀님의 꽃밭에는 그들이 산다 : 네이버웹소설,고겨울,로판,8,True
1046674,최선을 다해 후회하세요 : 네이버웹소설,정설탕,로판,177,True
1002527,하녀와의 계약결혼 : 네이버웹소설,달새울,로판,229,True
1062246,악당 가족이 독립을 반대한다 : 네이버웹소설,이흰,로판,142,True
1031875,흑막이 가짜 부인에게 집착합니다 : 네이버웹소설,집에가고싶다123,로판,203,True
1058954,전남편이 재결합을 요구합니다 : 네이버웹소설,디버스 대도서관,로판,150,True
1077044,대공의 꽃은 위태롭다 : 네이버웹소설,설렐,로판,116,True
1036910,눈먼 짐승의 목줄을 쥐었다 : 네이버웹소설,카예,로판,194,True
1046673,"49번 남았습니다, 스승님! : 네이버웹소설",코양희,로판,177,True
1073924,집착 황제와 안전하게 이혼하는 법 : 네이버웹소설,이윤아,로판,124,True
1065739,괴물 여기사는 육아휴직을 원한다 : 네이버웹소설,코스모로지,로판,133,True
1079993,회귀한 황후는 사냥개를 길들인다 : 네이버웹소설,룸야,로판,108,True
1117100,공작님의 아이만 필요합니다 : 네이버웹소설,백단,로판,72,False
1073932,잔혹한 흑막이 다정히 유혹할 때 : 네이버웹소설,쏘리미,로판,125,True
1094908,누가 마탑주와 밤을 보냈을까 : 네이버웹소설,항낭,로판,74,True
1077041,"공작님, 좀 뻣뻣하시네요 : 네이버웹소설",악녀협회장,로판,3,True
1099144,암살자 가문의 수양딸이 되었다 : 네이버웹소설,로갱,로판,64,True
1082875,폭군 아빠는 내가 지킨다! : 네이버웹소설,유나란,로판,99,True
1099138,대가는 너희의 모든 것 : 네이버웹소설,고네스,로판,64,True
1080000,시한부 공작님이 밤마다 집착해 : 네이버웹소설,운소서&하윤미,로판,107,True
1105615,당신의 용서를 구합니다 : 네이버웹소설,성하,로판,164,False
1113879,적국의 왕비가 되겠습니다 : 네이버웹소설,어흥,로판,103,False
1090500,엑스트라 단역이 너무 취향입니다 : 네이버웹소설,상몽가,로판,81,True
1065743,시녀님은 육아가 싫어요 : 네이버웹소설,꿀밤비,로판,134,True
1085881,부도덕한 악역 황후에 빙의했습니다 : 네이버웹소설,달가듯이,로판,90,True
1085897,악당 가문을 갱생시키면 : 네이버웹소설,에키라,로판,90,True
1085896,나를 구원하세요 : 네이버웹소설,이주안,로판,90,True
1058952,티엔다비스-완벽한 구원을 위하여 : 네이버웹소설,김영지,로판,151,True
1113871,황후의 짐승 간택 : 네이버웹소설,꿀밤비,로판,103,False
1090665,로드 가문의 사랑받는 막내딸입니다 : 네이버웹소설,서현,로판,81,True
1105611,마님과 마구간지기 : 네이버웹소설,윤달,로판,4,False
1079852,후회물 남주의 전여친은 사양입니다 : 네이버웹소설,홍당근,로판,99,True
1090501,계약 결혼을 방해받았다 : 네이버웹소설,은해윤,로판,81,True
1113884,미스 펜들턴 : 네이버웹소설,유혜민,로판,103,False
1077047,우리 아들과 결혼해 주세요 : 네이버웹소설,제이B,로판,116,True
1105612,집착을 버렸더니 집착을 당했다 : 네이버웹소설,서모린,로판,164,False
1090664,철벽 남주의 첫사랑이 된 모양입니다 : 네이버웹소설,양해연,로판,81,True
1099146,세상에 나쁜 공녀님은 없다 : 네이버웹소설,스캠퍼,로판,5,False
1113881,시한부 아내의 이혼 계획 : 네이버웹소설,리리코스,로판,103,False
1113872,약혼자가 자꾸만 나를 키우려 한다 : 네이버웹소설,희윤,로판,104,False
1119361,전남편과 옆집에 살게 되었습니다 : 네이버웹소설,사해랑,로판,42,False
1108684,시한부 왕녀는 미친개의 목줄을 쥐고 : 네이버웹소설,보랏빛마을,로판,38,True
1113880,죽었는데 왜 집착하세요 : 네이버웹소설,한윤설,로판,103,False
1119368,어느 날 언니가 죽었다 : 네이버웹소설,뚜또리,로판,42,False
1113883,짓밟고 부서지더라도 : 네이버웹소설,은솔림,로판,103,False
1113873,복수에는 이자가 붙는다 : 네이버웹소설,강희자매,로판,103,True
1119358,불완전한 이혼의 결말 : 네이버웹소설,라솔레,로판,42,False
1082880,사막의 폭군에게 사로잡혔습니다 : 네이버웹소설,하르딤,로판,99,True
1108676,내가 버린 약혼자가 돌아왔다 : 네이버웹소설,로사린,로판,134,False
1119370,이번 생엔 당신을 보좌하겠습니다 : 네이버웹소설,무민 친구,로판,42,False
1073931,최애 대신 폭군을 유혹하겠습니다 : 네이버웹소설,정무늬,로판,125,True
1108686,무협지 속 조연이 되었다 : 네이버웹소설,연여명,로판,134,False
1117098,딱히 농사를 짓고 싶은 건 아니었는데요! : 네이버웹소설,바가지,로판,72,False
1108679,바람은 붙잡을 수 없다 : 네이버웹소설,유이란,로판,134,False
1085894,남주와 가족이 되려면 : 네이버웹소설,강녹두,로판,90,True
1108687,원수는 구원이 될 수 있을까 : 네이버웹소설,Gazebo,로판,134,False
1099143,악역 꿈나무의 언니가 되었습니다 : 네이버웹소설,불탄소,로판,5,False
1117112,내 남편이 달라졌다 : 네이버웹소설,서담연,로판,42,False
1117096,원작 속 악녀와 남주를 이어 주었더니 : 네이버웹소설,현이경,로판,72,False
1117107,흰 족제비 공주님 : 네이버웹소설,이루이,로판,72,False
1094905,패륜 폭군이 짐승 같아서 죄송합니다 : 네이버웹소설,하오련,로판,73,True
1113877,누가 시녀장을 회귀시켰는가 : 네이버웹소설,소소리닻별,로판,103,False
1117113,공작가의 남장 하인이 되었다 : 네이버웹소설,메이비Y,로판,72,False
1125109,원수의 아기를 가졌다 : 네이버웹소설,미니바라기,로판,11,False
1117097,짝사랑은 끝났으니 알아서들 하세요 : 네이버웹소설,스크류뿅뿅,로판,72,False
1113875,"만수무강하세요, 폐하 저는 빼고요 : 네이버웹소설",유서안,로판,103,False
1113876,폭군의 시한부 소꿉친구 : 네이버웹소설,은해윤,로판,103,False
1117106,황후 애첩 스캔들 : 네이버웹소설,은려원,로판,72,False
1125130,버림받은 왕비가 그 남자를 무릎 꿇리는 법 : 네이버웹소설,박리안,로판,11,False
1102251,그 꽃을 꺾지 마세요 : 네이버웹소설,하야시,로판,55,True
1117110,엄마가 빙의했다 : 네이버웹소설,유은우,로판,72,False
1125122,야수를 주웠더니 황제랍니다 : 네이버웹소설,thornstar,로판,11,False
1125118,아빠가 누구라고요? : 네이버웹소설,정은금,로판,11,False
1119363,결국 여주인공이 도망갔다 : 네이버웹소설,톰히,로판,42,False
1090498,사람은 고쳐 쓰는 게 아니야! : 네이버웹소설,염라,로판,81,True
1117102,은혜를 원수로 갚을 예정입니다 : 네이버웹소설,함초롱,로판,72,False
1117099,시엄마는 회귀하기 싫어! : 네이버웹소설,진은조,로판,72,False
1117105,신데렐라에게 복수당하는 중 : 네이버웹소설,오소리국밥,로판,71,False
1117108,그 대공은 모든 것을 앗아갔다 : 네이버웹소설,쑥쥬,로판,72,False
1113878,S급 던전의 캠핑장 주인 : 네이버웹소설,offnun,로판,103,False
1125115,미친 공작의 덫에 걸렸다 : 네이버웹소설,마려운고양이,로판,11,False
1125108,검술 명가의 대마법사 막내딸 : 네이버웹소설,윤하월,로판,11,False
1125124,이혼 후 새 삶 : 네이버웹소설,해시월,로판,11,False
1105616,최애를 결혼시키지 못하면 죽습니다 : 네이버웹소설,이다란,로판,70,False
1119360,"망했다, 남캐에 빙의하다니! : 네이버웹소설",김선유,로판,42,False
1125116,남편이 죽었으면 좋겠다 : 네이버웹소설,신서록,로판,11,False
1125113,다정한 남주를 흑화시켰다 : 네이버웹소설,구름에 숨은 달,로판,11,False
1125119,악마 대공과의 계약 결혼 : 네이버웹소설,최고낑,로판,11,False
1125120,미친 악당과의 계략적 결혼 생활 : 네이버웹소설,차그믐,로판,11,False
1125110,당신의 후회가 붙잡을지라도 : 네이버웹소설,지헨,로판,11,False
1119369,더는 나를 원하지 않는 당신에게 : 네이버웹소설,한도솔,로판,42,False
1102252,이 중에 황녀님 취향이 하나쯤은 있겠지 : 네이버웹소설,주안서,로판,55,True
1125107,곧 사라질 악역을 유혹해버렸다 : 네이버웹소설,디클레어,로판,11,False
1119372,시한부는 공략을 거절합니다 : 네이버웹소설,꿀끼,로판,42,False
1117101,"세계 서열 0위님, 제발 그만해 주세요 : 네이버웹소설",먕먕녕녕,로판,72,False
1125114,반려가 될 생각은 아니었는데요 : 네이버웹소설,graiyo,로판,11,False
1125123,"살려 줬더니, 집착당하다 : 네이버웹소설",윤지은,로판,11,False
1125111,그렇게 시작된 당신의 후회는 : 네이버웹소설,설매향,로판,11,False
1119364,복수를 위해 남자들을 길렀을 뿐인데 : 네이버웹소설,아끼다금된다,로판,42,False
1125117,버려진 신부를 탐하는 자는 : 네이버웹소설,정은초,로판,11,False
1125125,당신의 죽음을 위해 살아가겠습니다 : 네이버웹소설,사하람,로판,11,False
1121305,S급이 내 부캐야 : 네이버웹소설,오디조타,로판,42,False
1125127,랭킹 1위의 여동생입니다 : 네이버웹소설,리티티,로판,11,False
1083226,마탄 쏘는 백작가 망나니 : 네이버웹소설,준강,판타지,346,False
1051340,게임마스터 : 네이버웹소설,둥치,판타지,254,True
1046681,튜토리얼 탑의 고인물 : 네이버웹소설,방구석김씨,판타지,449,True
1090502,카이사르의 아들이 되었다 : 네이버웹소설,민초냥이,판타지,284,False
1105621,"환생 드래곤, 아카데미 가다! : 네이버웹소설",치키치키용가리,판타지,164,False
1099147,구원자의 버킷리스트 : 네이버웹소설,바다낭자,판타지,200,False
1090666,상위 0.001% 랭커의 귀환 : 네이버웹소설,유우리,판타지,110,False
1105620,연애편지 쓰다 강해짐 : 네이버웹소설,토리셀,판타지,164,False
1119797,스승님이 돌아왔다 : 네이버웹소설,칼튼,판타지,37,False
1119793,암살 가문의 천재 어쌔신 : 네이버웹소설,체나,판타지,37,False
1094912,내가 만든 세계 속 광전사가 되었다 : 네이버웹소설,메르시스타,판타지,256,False
1102256,SSR 뽑기 캐릭터가 유저를 육성함 : 네이버웹소설,엣취드워프,판타지,195,False
1117116,어느 회귀자의 버킷리스트 : 네이버웹소설,김author,판타지,72,False
1113886,미래일기로 생존게임 : 네이버웹소설,언늘,판타지,103,False
1082888,크림슨 하트 : 네이버웹소설,HYBE,판타지,51,False
1125132,망나니 교황이 유능해지면 : 네이버웹소설,마루해,판타지,11,False
1082889,DARK MOON: 회색 도시 : 네이버웹소설,HYBE,판타지,81,False
1012540,치트 쓰는 아이돌 : 네이버웹소설,미카엘K,현판,331,True
1094913,국세청 망나니 : 네이버웹소설,동면거북이,현판,256,False
1002534,신과 함께 요리천재 : 네이버웹소설,천종원,현판,344,True
